Item name,Variations,Option set 1,Option 1,Option set 2,Option 2,Option set 3,Option 3,Option set 4,Option 4,Is variation visible? (Yes/No),Price,Cost price,Variable price? (Yes/No),Tax rate (%),On sale in Online Store?,Regular price (before sale),Set up different prices and VAT for takeaway,Takeaway price,Takeaway tax rate,Unit,Track inventory? (Yes/No),Quantity,Low stock threshold,SKU,Barcode,Modifiers,Description (Online Store and Invoices only),Category,Display item at Checkout? (Yes/No),Display colour in POS checkout,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Display item in Online Store? (Yes/No),SEO title (Online Store only),SEO description (Online Store only),Shipping weight [kg] (Online Store only),Display service in Bookings? (Yes/No),Duration [minutes] (Bookings only),Location [business/customer] (Bookings only),Item id (Do not change),Variant id (Do not change)
Enduit monocouche blanc PRB 25 kg – Réf. 68185516,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-68185516,,,À fournir par le client - Leroy Merlin - Réf. 68185516,Fournitures client - Peinture / Enduit,Yes,,https://raw.githubusercontent.com/nuancedegreg-blip/Sumup-images/main/images_v3/LM-68185516.jpg,,,,,,,No,,,,No,,,,
Primaire d'accrochage intérieur/extérieur AXTON 4 L – Réf. 88296306,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-88296306,,,À fournir par le client - Leroy Merlin - Réf. 88296306,Fournitures client - Peinture / Enduit,Yes,,https://raw.githubusercontent.com/nuancedegreg-blip/Sumup-images/main/images_v3/LM-88296306.jpg,,,,,,,No,,,,No,,,,
Primaire d'accrochage AXTON 4 L 30 m² – Réf. 80129158,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-80129158,,,À fournir par le client - Leroy Merlin - Réf. 80129158,Fournitures client - Peinture / Enduit,Yes,,,,,,,,,No,,,,No,,,,
Ragréage fibré intérieur/extérieur AXTON 25 kg – Réf. 91988857,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-91988857,,,À fournir par le client - Leroy Merlin - Réf. 91988857,Fournitures client - Maçonnerie,Yes,,https://media.adeo.com/media/4775757/media.png?fit=bounds&format=jpg&height=125&quality=60&width=125,,,,,,,No,,,,No,,,,
Ragréage sol autolissant fibré AXTON 25 kg – Réf. 82620216,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82620216,,,À fournir par le client - Leroy Merlin - Réf. 82620216,Fournitures client - Maçonnerie,Yes,,https://media.adeo.com/media/850550/media.jpg?fit=bounds&format=jpg&height=125&quality=60&width=125,,,,,,,No,,,,No,,,,
Ragréage sol autolissant AXTON 25 kg – Réf. 82620217,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82620217,,,À fournir par le client - Leroy Merlin - Réf. 82620217,Fournitures client - Maçonnerie,Yes,,https://media.adeo.com/media/1079797/media.jpg?fit=bounds&format=jpg&height=125&quality=60&width=125,,,,,,,No,,,,No,,,,
Colle carrelage FLEX tous formats AXTON blanche 25 kg – Réf. 91988855,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-91988855,,,À fournir par le client - Leroy Merlin - Réf. 91988855,Fournitures client - Carrelage,Yes,,https://raw.githubusercontent.com/nuancedegreg-blip/Sumup-images/main/images_v3/LM-91988855.jpg,,,,,,,No,,,,No,,,,
Mortier colle flexible AXTON gris 25 kg – Réf. 67440800,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-67440800,,,À fournir par le client - Leroy Merlin - Réf. 67440800,Fournitures client - Maçonnerie,Yes,,https://raw.githubusercontent.com/nuancedegreg-blip/Sumup-images/main/images_v3/LM-67440800.jpg,,,,,,,No,,,,No,,,,
Mortier colle AXTON Flex blanc 25 kg - rendement 5 m² – Réf. 80129018,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-80129018,,,À fournir par le client - Leroy Merlin - Réf. 80129018,Fournitures client - Maçonnerie,Yes,,,,,,,,,No,,,,No,,,,
Joint carrelage/mosaïque AXTON gris 5 kg – Réf. 80129330,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-80129330,,,À fournir par le client - Leroy Merlin - Réf. 80129330,Fournitures client - Carrelage,Yes,,,,,,,,,No,,,,No,,,,
Joint tous types carrelage/mosaïque AXTON blanc 5 kg – Réf. 91952412,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-91952412,,,À fournir par le client - Leroy Merlin - Réf. 91952412,Fournitures client - Carrelage,Yes,,https://media.adeo.com/media/4447892/media.png?fit=bounds&format=jpg&height=125&quality=60&width=125,,,,,,,No,,,,No,,,,
Joint tous types carrelage/mosaïque AXTON beige 5 kg – Réf. 91952413,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-91952413,,,À fournir par le client - Leroy Merlin - Réf. 91952413,Fournitures client - Carrelage,Yes,,https://media.adeo.com/media/4447896/media.png?fit=bounds&format=jpg&height=125&quality=60&width=125,,,,,,,No,,,,No,,,,
Joint tous types carrelage/mosaïque AXTON noir 5 kg – Réf. 91952437,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-91952437,,,À fournir par le client - Leroy Merlin - Réf. 91952437,Fournitures client - Carrelage,Yes,,https://media.adeo.com/media/4447902/media.png?fit=bounds&format=jpg&height=3000&quality=80&width=3000,,,,,,,No,,,,No,,,,
Joint carrelage poudre AXTON gris clair 5 kg – Réf. 88319690,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-88319690,,,À fournir par le client - Leroy Merlin - Réf. 88319690,Fournitures client - Carrelage,Yes,,https://media.adeo.com/media/1669228/media.jpg?fit=bounds&format=jpg&height=125&quality=60&width=125,,,,,,,No,,,,No,,,,
Silicone cuisine et bain AXTON transparent 280 ml – Réf. 82371622,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82371622,,,À fournir par le client - Leroy Merlin - Réf. 82371622,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Silicone cuisine et bain AXTON blanc 310 ml – Réf. 69999020,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-69999020,,,À fournir par le client - Leroy Merlin - Réf. 69999020,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Ciment gris CE 35 kg – Réf. 75598306,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-75598306,,,À fournir par le client - Leroy Merlin - Réf. 75598306,Fournitures client - Maçonnerie,Yes,,,,,,,,,No,,,,No,,,,
Ciment gris professionnel NF CEM II 42.5 CCB 35 kg – Réf. 88802142,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-88802142,,,À fournir par le client - Leroy Merlin - Réf. 88802142,Fournitures client - Maçonnerie,Yes,,https://media.adeo.com/media/3665379/media.jpg?fit=bounds&format=jpg&height=125&quality=60&width=125,,,,,,,No,,,,No,,,,
Ciment gris PRO NF CEM II 32.5 35 kg – Réf. 80136218,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-80136218,,,À fournir par le client - Leroy Merlin - Réf. 80136218,Fournitures client - Maçonnerie,Yes,,https://media.adeo.com/media/990324/media.jpg?fit=bounds&format=jpg&height=125&quality=60&width=125,,,,,,,No,,,,No,,,,
Ciment gris à maçonner CE 35 kg – Réf. 75498150,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-75498150,,,À fournir par le client - Leroy Merlin - Réf. 75498150,Fournitures client - Maçonnerie,Yes,,,,,,,,,No,,,,No,,,,
Ciment gris Solucem CIMALIT NF CEM II 32.5 35 kg – Réf. 80152849,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-80152849,,,À fournir par le client - Leroy Merlin - Réf. 80152849,Fournitures client - Maçonnerie,Yes,,,,,,,,,No,,,,No,,,,
Ciment CIMALIT Portland composite 32.5 35 kg – Réf. 80152841,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-80152841,,,À fournir par le client - Leroy Merlin - Réf. 80152841,Fournitures client - Maçonnerie,Yes,,https://media.adeo.com/media/1106139/media.jpg?fit=bounds&format=jpg&height=125&quality=60&width=125,,,,,,,No,,,,No,,,,
Ciment gris CALCIA CEM II 32.5 NF 35 kg – Réf. 88596328,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-88596328,,,À fournir par le client - Leroy Merlin - Réf. 88596328,Fournitures client - Maçonnerie,Yes,,https://media.adeo.com/media/3861393/media.jpg?fit=bounds&format=jpg&height=125&quality=60&width=125,,,,,,,No,,,,No,,,,
Ciment CIMALIT CEM II 32.5 35 kg – Réf. 80136219,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-80136219,,,À fournir par le client - Leroy Merlin - Réf. 80136219,Fournitures client - Maçonnerie,Yes,,https://media.adeo.com/media/990324/media.jpg?fit=bounds&format=jpg&height=125&quality=60&width=125,,,,,,,No,,,,No,,,,
Ciment gris CIMALIT CE 32.5 35 kg – Réf. 80126306,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-80126306,,,À fournir par le client - Leroy Merlin - Réf. 80126306,Fournitures client - Maçonnerie,Yes,,,,,,,,,No,,,,No,,,,
Chaux blanche CE NHL 3.5 35 kg – Réf. 80139321,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-80139321,,,À fournir par le client - Leroy Merlin - Réf. 80139321,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Ciment gris multi-usages pro EQIOM NF 32.5 35 kg – Réf. 88127360,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-88127360,,,À fournir par le client - Leroy Merlin - Réf. 88127360,Fournitures client - Maçonnerie,Yes,,,,,,,,,No,,,,No,,,,
Mélange béton recyclat NF 35 kg – Réf. 88596577,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-88596577,,,À fournir par le client - Leroy Merlin - Réf. 88596577,Fournitures client - Maçonnerie,Yes,,,,,,,,,No,,,,No,,,,
Béton prêt à l'emploi LE BETON FRANÇAIS 25 kg – Réf. 82671824,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82671824,,,À fournir par le client - Leroy Merlin - Réf. 82671824,Fournitures client - Maçonnerie,Yes,,https://raw.githubusercontent.com/nuancedegreg-blip/Sumup-images/main/images_v3/LM-82671824.jpg,,,,,,,No,,,,No,,,,
Mortier prêt à l'emploi AXTON 10 kg – Réf. 66762724,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-66762724,,,À fournir par le client - Leroy Merlin - Réf. 66762724,Fournitures client - Maçonnerie,Yes,,,,,,,,,No,,,,No,,,,
Mortier prêt à l'emploi AXTON 5 kg – Réf. 67002054,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-67002054,,,À fournir par le client - Leroy Merlin - Réf. 67002054,Fournitures client - Maçonnerie,Yes,,,,,,,,,No,,,,No,,,,
Panneau treillis soudé 2.4 x 1.2 m – Réf. 60655231,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-60655231,,,À fournir par le client - Leroy Merlin - Réf. 60655231,Fournitures client - Maçonnerie,Yes,,,,,,,,,No,,,,No,,,,
Treillis soudé 2.33 x 1.19 m diam.3 mm – Réf. 61367971,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-61367971,,,À fournir par le client - Leroy Merlin - Réf. 61367971,Fournitures client - Maçonnerie,Yes,,,,,,,,,No,,,,No,,,,
Treillis soudé carré 1.19 x 2.33 m diam.5 mm – Réf. 73205006,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-73205006,,,À fournir par le client - Leroy Merlin - Réf. 73205006,Fournitures client - Maçonnerie,Yes,,,,,,,,,No,,,,No,,,,
Treillis soudé rouleau 25 x 1.19 m diam.3 mm – Réf. 61368006,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-61368006,,,À fournir par le client - Leroy Merlin - Réf. 61368006,Fournitures client - Peinture / Enduit,Yes,,,,,,,,,No,,,,No,,,,
Distancier pour armatures 50 mm L.2 m – Réf. 87657925,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-87657925,,,À fournir par le client - Leroy Merlin - Réf. 87657925,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Panneau treillis 2.4 x 4.2 m diam.5.5 mm – Réf. 67610144,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-67610144,,,À fournir par le client - Leroy Merlin - Réf. 67610144,Fournitures client - Maçonnerie,Yes,,,,,,,,,No,,,,No,,,,
Plaque de plâtre BA13 KNAUF 280 x 120 cm NF – Réf. 66639664,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-66639664,,,À fournir par le client - Leroy Merlin - Réf. 66639664,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Plaque de plâtre BA13 KNAUF 260 x 120 cm NF – Réf. 65331560,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-65331560,,,À fournir par le client - Leroy Merlin - Réf. 65331560,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Plaque de plâtre BA13 standard CE 250 x 120 cm – Réf. 69051871,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-69051871,,,À fournir par le client - Leroy Merlin - Réf. 69051871,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Plaque de plâtre BA13 DRYPLAC NF 250 x 120 cm – Réf. 84862907,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-84862907,,,À fournir par le client - Leroy Merlin - Réf. 84862907,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Plaque BA13 hydrofuge HOME PRATIK 250 x 120 cm – Réf. 68060006,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-68060006,,,À fournir par le client - Leroy Merlin - Réf. 68060006,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Plaque BA13 hydrofuge FASSA BORTOLO 250 x 120 cm – Réf. 68618025,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-68618025,,,À fournir par le client - Leroy Merlin - Réf. 68618025,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Plaque BA13 hydrofuge RESI 250 x 120 cm – Réf. 82278583,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82278583,,,À fournir par le client - Leroy Merlin - Réf. 82278583,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Plaque BA13 standard RESI 250 x 120 cm – Réf. 77260190,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-77260190,,,À fournir par le client - Leroy Merlin - Réf. 77260190,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Rail R48/30 NF 3 m – Réf. 80134514,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-80134514,,,À fournir par le client - Leroy Merlin - Réf. 80134514,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Rail R48 3 m ISOLPRO – Réf. 82709661,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82709661,,,À fournir par le client - Leroy Merlin - Réf. 82709661,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Montant M48/35 NF 2.59 m – Réf. 80134518,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-80134518,,,À fournir par le client - Leroy Merlin - Réf. 80134518,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Gaine ICTA diam.20 mm L.100 m – Réf. 82279843,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-82279843,,,À fournir par le client - Leroy Merlin - Réf. 82279843,Fournitures client - Électricité,Yes,,,,,,,,,No,,,,No,,,,
Gaine ICTA diam.20 mm L.100 m avec tire-fil – Réf. 70350343,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-70350343,,,À fournir par le client - Leroy Merlin - Réf. 70350343,Fournitures client - Électricité,Yes,,,,,,,,,No,,,,No,,,,
Gaine ICTA TURBOGLISS LEGRAND diam.20 mm L.100 m – Réf. 91223228,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-91223228,,,À fournir par le client - Leroy Merlin - Réf. 91223228,Fournitures client - Électricité,Yes,,,,,,,,,No,,,,No,,,,
Câble U1000R2V 3G2.5 mm² noir L.50 m – Réf. 70808703,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-70808703,,,À fournir par le client - Leroy Merlin - Réf. 70808703,Fournitures client - Électricité,Yes,,,,,,,,,No,,,,No,,,,
Câble U1000R2V 5G2.5 mm² noir L.50 m – Réf. 70809046,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-70809046,,,À fournir par le client - Leroy Merlin - Réf. 70809046,Fournitures client - Électricité,Yes,,,,,,,,,No,,,,No,,,,
Câble U1000R2V 5G1.5 mm² noir L.50 m – Réf. 70808941,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-70808941,,,À fournir par le client - Leroy Merlin - Réf. 70808941,Fournitures client - Électricité,Yes,,,,,,,,,No,,,,No,,,,
Gaine préfilée radiateur 3x2.5 + 1x1.5 mm² L.100 m – Réf. 69389796,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-69389796,,,À fournir par le client - Leroy Merlin - Réf. 69389796,Fournitures client - Électricité,Yes,,,,,,,,,No,,,,No,,,,
Câble U1000R2V 3G2.5 mm² touret 500 m – Réf. 84818576,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-84818576,,,À fournir par le client - Leroy Merlin - Réf. 84818576,Fournitures client - Électricité,Yes,,,,,,,,,No,,,,No,,,,
Bornes automatiques WAGO série 221 assortiment 100 pièces – Réf. 80126912,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-80126912,,,À fournir par le client - Leroy Merlin - Réf. 80126912,Fournitures client - Électricité,Yes,,,,,,,,,No,,,,No,,,,
Raccord multicouche compression D.16 mm – Réf. 84851012,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-84851012,,,À fournir par le client - Leroy Merlin - Réf. 84851012,Fournitures client - Plomberie,Yes,,,,,,,,,No,,,,No,,,,
Raccord multicouche compression D.20 F20x27 Equation – Réf. 84851077,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-84851077,,,À fournir par le client - Leroy Merlin - Réf. 84851077,Fournitures client - Plomberie,Yes,,,,,,,,,No,,,,No,,,,
Raccord multicouche compression D.26 M20x27 Equation – Réf. 88763881,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-88763881,,,À fournir par le client - Leroy Merlin - Réf. 88763881,Fournitures client - Plomberie,Yes,,,,,,,,,No,,,,No,,,,
Raccord multicouche écrou libre D.26 F20x27 Equation – Réf. 84851142,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-84851142,,,À fournir par le client - Leroy Merlin - Réf. 84851142,Fournitures client - Plomberie,Yes,,,,,,,,,No,,,,No,,,,
Raccord passerelle PER/multicouche à sertir 20 x 16 – Réf. 88792670,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-88792670,,,À fournir par le client - Leroy Merlin - Réf. 88792670,Fournitures client - Plomberie,Yes,,,,,,,,,No,,,,No,,,,
Scellement chimique FISCHER FIS HT II ton pierre 300 ml – Réf. 87919181,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-87919181,,,À fournir par le client - Leroy Merlin - Réf. 87919181,Fournitures client - Fixation / Visserie,Yes,,,,,,,,,No,,,,No,,,,
Tube PVC évacuation Ø100 mm L.1 m – Réf. 64931454,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-64931454,,,À fournir par le client - Leroy Merlin - Réf. 64931454,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Tube PVC évacuation Ø100 mm L.2 m – Réf. 69188630,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-69188630,,,À fournir par le client - Leroy Merlin - Réf. 69188630,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Tube PVC NFE M1 Ø100 mm L.1 m – Réf. 63937636,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-63937636,,,À fournir par le client - Leroy Merlin - Réf. 63937636,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Tube PVC NFE M1 Ø100 mm L.2 m – Réf. 63937643,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-63937643,,,À fournir par le client - Leroy Merlin - Réf. 63937643,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Tube PVC NFE M1 Ø100 mm L.4 m – Réf. 63937762,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-63937762,,,À fournir par le client - Leroy Merlin - Réf. 63937762,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Tube PVC NFE ME Ø100 mm L.4 m – Réf. 66539333,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-66539333,,,À fournir par le client - Leroy Merlin - Réf. 66539333,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Tube PVC non normé Ø100 mm L.2 m – Réf. 66540264,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-66540264,,,À fournir par le client - Leroy Merlin - Réf. 66540264,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Tube PVC non normé Ø100 mm L.4 m – Réf. 66540250,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-66540250,,,À fournir par le client - Leroy Merlin - Réf. 66540250,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Collier fixation tube PVC Ø100 mm GIRPI – Réf. 6150123,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-6150123,,,À fournir par le client - Leroy Merlin - Réf. 6150123,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
Té simple PVC 87° femelle/femelle Ø100 mm GIRPI – Réf. 13783,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-13783,,,À fournir par le client - Leroy Merlin - Réf. 13783,Fournitures client - Autres,Yes,,,,,,,,,No,,,,No,,,,
"Tube multicouche gainé rouge Ø16, couronne 50 m EQUATION – Réf. 84850993",,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-84850993,,,À fournir par le client - Leroy Merlin - Réf. 84850993,Fournitures client - Plomberie,Yes,,,,,,,,,No,,,,No,,,,
"Tube multicouche gainé rouge Ø16, couronne 25 m EQUATION – Réf. 84850988",,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-84850988,,,À fournir par le client - Leroy Merlin - Réf. 84850988,Fournitures client - Plomberie,Yes,,,,,,,,,No,,,,No,,,,
"Tube multicouche gainé bleu Ø16, couronne 50 m EQUATION – Réf. 84850996",,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-84850996,,,À fournir par le client - Leroy Merlin - Réf. 84850996,Fournitures client - Plomberie,Yes,,,,,,,,,No,,,,No,,,,
Lot 10 coudes multicouche à sertir Ø16 EQUATION – Réf. 84850962,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-84850962,,,À fournir par le client - Leroy Merlin - Réf. 84850962,Fournitures client - Plomberie,Yes,,,,,,,,,No,,,,No,,,,
Kit 4 fixations scellement chimique tiges M8x160 – Réf. 70221550,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-70221550,,,À fournir par le client - Leroy Merlin - Réf. 70221550,Fournitures client - Fixation / Visserie,Yes,,,,,,,,,No,,,,No,,,,
Manchon réduit multicouche à sertir Ø16x20 – Réf. 84851096,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-84851096,,,À fournir par le client - Leroy Merlin - Réf. 84851096,Fournitures client - Plomberie,Yes,,,,,,,,,No,,,,No,,,,
Té multicouche à sertir Ø20 – Réf. 84850982,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-84850982,,,À fournir par le client - Leroy Merlin - Réf. 84850982,Fournitures client - Plomberie,Yes,,,,,,,,,No,,,,No,,,,
Coude multicouche à sertir Ø20 – Réf. 84851052,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-84851052,,,À fournir par le client - Leroy Merlin - Réf. 84851052,Fournitures client - Plomberie,Yes,,,,,,,,,No,,,,No,,,,
Manchon multicouche à sertir Ø20x26 – Réf. 84851131,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-84851131,,,À fournir par le client - Leroy Merlin - Réf. 84851131,Fournitures client - Plomberie,Yes,,,,,,,,,No,,,,No,,,,
Té inégal multicouche à sertir Ø20x16 – Réf. 84850989,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-84850989,,,À fournir par le client - Leroy Merlin - Réf. 84850989,Fournitures client - Plomberie,Yes,,,,,,,,,No,,,,No,,,,
Raccord multicouche à sertir Ø20 – Réf. 84851095,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-84851095,,,À fournir par le client - Leroy Merlin - Réf. 84851095,Fournitures client - Plomberie,Yes,,,,,,,,,No,,,,No,,,,
Lot 10 coudes multicouche à sertir Ø20 EQUATION – Réf. 84850964,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-84850964,,,À fournir par le client - Leroy Merlin - Réf. 84850964,Fournitures client - Plomberie,Yes,,,,,,,,,No,,,,No,,,,
Lot 10 tés multicouche à sertir Ø20 EQUATION – Réf. 84851089,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-84851089,,,À fournir par le client - Leroy Merlin - Réf. 84851089,Fournitures client - Plomberie,Yes,,,,,,,,,No,,,,No,,,,
Coude multicouche F15x21 x Ø16 à sertir – Réf. 84850994,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-84850994,,,À fournir par le client - Leroy Merlin - Réf. 84850994,Fournitures client - Plomberie,Yes,,,,,,,,,No,,,,No,,,,
Coude multicouche F20x27 x Ø20 à sertir – Réf. 84851000,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-84851000,,,À fournir par le client - Leroy Merlin - Réf. 84851000,Fournitures client - Plomberie,Yes,,,,,,,,,No,,,,No,,,,
Raccord multicouche à sertir Ø16 – Réf. 88792669,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-88792669,,,À fournir par le client - Leroy Merlin - Réf. 88792669,Fournitures client - Plomberie,Yes,,,,,,,,,No,,,,No,,,,
Lot 10 raccords multicouche à sertir Ø16 – Réf. 88792666,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-88792666,,,À fournir par le client - Leroy Merlin - Réf. 88792666,Fournitures client - Plomberie,Yes,,,,,,,,,No,,,,No,,,,
Lot 10 raccords multicouche Ø16 F15x21 EQUATION – Réf. 84851119,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-84851119,,,À fournir par le client - Leroy Merlin - Réf. 84851119,Fournitures client - Plomberie,Yes,,,,,,,,,No,,,,No,,,,
Lot 10 tés multicouche à sertir Ø16 EQUATION – Réf. 84851088,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-84851088,,,À fournir par le client - Leroy Merlin - Réf. 84851088,Fournitures client - Plomberie,Yes,,,,,,,,,No,,,,No,,,,
Raccord multicouche M20x27 x Ø20 – Réf. 84851061,,,,,,,,,,Yes,0.00,,No,,No,,,,,,No,,,LM-84851061,,,À fournir par le client - Leroy Merlin - Réf. 84851061,Fournitures client - Plomberie,Yes,,,,,,,,,No,,,,No,,,,
